PartitionKey,RowKey,Timestamp,message,message@type
17809,1538775954515,2018-10-05T21:45:54.592Z,"[{""messageId"":5,""deviceId"":""rp1"",""temperature"":30.721179223021075,""humidity"":62.72441806590075}]",Edm.String
17809,1538775956994,2018-10-05T21:45:57.025Z,"[{""messageId"":4,""deviceId"":""rp3"",""temperature"":31.529461768333416,""humidity"":68.2711510652643}]",Edm.String
17809,1538775959448,2018-10-05T21:45:59.483Z,"[{""messageId"":6,""deviceId"":""rp1"",""temperature"":30.785582469699975,""humidity"":60.60113314962693}]",Edm.String
17809,1538775961913,2018-10-05T21:46:01.943Z,"[{""messageId"":5,""deviceId"":""rp3"",""temperature"":24.70838426179485,""humidity"":60.08450192554585}]",Edm.String
17809,1538775964403,2018-10-05T21:46:04.431Z,"[{""messageId"":7,""deviceId"":""rp1"",""temperature"":23.52457030217617,""humidity"":70.91308917467029}]",Edm.String
17809,1538775966878,2018-10-05T21:46:06.910Z,"[{""messageId"":6,""deviceId"":""rp3"",""temperature"":31.25781925353756,""humidity"":62.2781513685069}]",Edm.String
17809,1538775970060,2018-10-05T21:46:10.084Z,"[{""messageId"":8,""deviceId"":""rp1"",""temperature"":22.024488433900217,""humidity"":66.10227101250567}]",Edm.String
17809,1538775972005,2018-10-05T21:46:12.032Z,"[{""messageId"":7,""deviceId"":""rp3"",""temperature"":29.236463345713645,""humidity"":75.50872260786639}]",Edm.String
17809,1538775974474,2018-10-05T21:46:14.527Z,"[{""messageId"":9,""deviceId"":""rp1"",""temperature"":22.66933206301288,""humidity"":78.39718308835673}]",Edm.String
17809,1538775976960,2018-10-05T21:46:16.983Z,"[{""messageId"":8,""deviceId"":""rp3"",""temperature"":31.187732511276902,""humidity"":61.67517612710392}]",Edm.String
17809,1538775979446,2018-10-05T21:46:19.477Z,"[{""messageId"":10,""deviceId"":""rp1"",""temperature"":26.869454091546263,""humidity"":79.81503074442398}]",Edm.String
17809,1538775981893,2018-10-05T21:46:21.917Z,"[{""messageId"":9,""deviceId"":""rp3"",""temperature"":28.51614849331607,""humidity"":64.30163003917147}]",Edm.String
17809,1538775984554,2018-10-05T21:46:24.598Z,"[{""messageId"":11,""deviceId"":""rp1"",""temperature"":23.386386469241266,""humidity"":67.41071423456971}]",Edm.String
